"Bird.Count" "Lat" "Lon" "month" "year"
"5241" 1 25.3029333333333 -80.7472666666667 4 1998
"5244" 3 25.3029333333333 -80.7174666666667 4 1998
"5246" 5 25.2939833333333 -80.74725 4 1998
"5247" 0 25.294 -80.7373666666667 4 1998
"5250" 0 25.2939833333333 -80.7076666666667 4 1998
"5251" 2 25.2851333333333 -80.74725 4 1998
"5254" 1 25.285 -80.7172333333333 4 1998
"5257" 0 25.2761 -80.7472333333333 4 1998
"5261" 0 25.3917333333333 -80.7475 4 1999
"5262" 0 25.3917666666667 -80.7375833333333 4 1999
"5264" 0 25.3830333333333 -80.73755 4 1999
"5265" 0 25.3830333333333 -80.7275666666667 4 1999
"5266" 0 25.38305 -80.7177666666667 4 1999
"5271" 0 25.37495 -80.7671666666667 4 1999
"5272" 2 25.375 -80.7572 4 1999
"5276" 0 25.3659833333333 -80.7968 4 1999
"5277" 0 25.366 -80.7867833333333 4 1999
"5281" 1 25.357 -80.8264 4 1999
"5282" 0 25.357 -80.8165666666667 4 1999
"5283" 2 25.3569833333333 -80.80655 4 1999
"5285" 1 25.3570166666667 -80.7867166666667 4 1999
"5286" 1 25.3570166666667 -80.7768833333333 4 1999
"5288" 3 25.3569833333333 -80.7572 4 1999
"5294" 3 25.3480333333333 -80.7768333333333 4 1999
"5295" 2 25.3480333333333 -80.7669 4 1999
"5300" 0 25.3390166666667 -80.79655 4 1999
"5303" 0 25.3390333333333 -80.76685 4 1999
"5309" 1 25.3300833333333 -80.7864666666667 4 1999
"5310" 2 25.3301 -80.7766333333333 4 1999
"5312" 2 25.3300833333333 -80.75715 4 1999
"5319" 2 25.321 -80.76665 4 1999
"5324" 2 25.3120166666667 -80.7862833333333 4 1999
"5326" 2 25.3120166666667 -80.7665666666667 4 1999
"5337" 3 25.2939833333333 -80.7664333333333 4 1999
"5346" 0 25.4190333333333 -80.7668833333333 4 1999
"5347" 0 25.419 -80.7573833333333 4 1999
"5351" 0 25.4100833333333 -80.7669833333333 4 1999
"5353" 0 25.4011 -80.7868166666667 4 1999
"5354" 0 25.4010833333333 -80.7770666666667 4 1999
"5356" 3 25.3748666666667 -80.7473666666667 4 1999
"5357" 0 25.3748166666667 -80.7374333333333 4 1999
"5358" 0 25.37495 -80.7175333333333 4 1999
"5360" 0 25.36595 -80.7374 4 1999
"5361" 0 25.36595 -80.7273833333333 4 1999
"5362" 0 25.3659833333333 -80.7175166666667 4 1999
"5364" 2 25.35695 -80.7473333333333 4 1999
"5366" 0 25.35695 -80.7273833333333 4 1999
"5367" 0 25.3569666666667 -80.7175166666667 4 1999
"5369" 4 25.3479166666667 -80.7374 4 1999
"5370" 0 25.3479333333333 -80.7274 4 1999
"5371" 0 25.34795 -80.7175333333333 4 1999
"5373" 1 25.3390333333333 -80.7374 4 1999
"5374" 1 25.3390166666667 -80.7274166666667 4 1999
"5375" 3 25.3390333333333 -80.7175333333333 4 1999
"5376" 2 25.3300166666667 -80.7473166666667 4 1999
"5377" 2 25.3300166666667 -80.7374166666667 4 1999
"5379" 0 25.33005 -80.7076666666667 4 1999
"5384" 0 25.3119833333333 -80.7472666666667 4 1999
"5385" 0 25.3119833333333 -80.7373666666667 4 1999
"5387" 0 25.3119833333333 -80.7175 4 1999
"5388" 0 25.3120166666667 -80.7076333333333 4 1999
"5389" 0 25.3029333333333 -80.7472666666667 4 1999
"5390" 3 25.3029333333333 -80.7373666666667 4 1999
"5391" 0 25.3029166666667 -80.72745 4 1999
"5393" 0 25.3029166666667 -80.7076833333333 4 1999
"5399" 0 25.2851333333333 -80.74725 4 1999
"5404" 0 25.2851666666667 -80.70755 4 1999
"5429" 1 25.366 -80.7670666666667 4 2000
"5432" 4 25.357 -80.8165666666667 4 2000
"5436" 0 25.3570166666667 -80.7768833333333 4 2000
"5438" 3 25.3569833333333 -80.7572 4 2000
"5441" 0 25.3480333333333 -80.8064833333333 4 2000
"5444" 2 25.3480333333333 -80.7768333333333 4 2000
"5445" 2 25.3480333333333 -80.7669 4 2000
"5450" 1 25.3390166666667 -80.79655 4 2000
"5453" 0 25.3390333333333 -80.76685 4 2000
"5460" 1 25.3301 -80.7766333333333 4 2000
"5462" 2 25.3300833333333 -80.75715 4 2000
"5475" 0 25.312 -80.77645 4 2000
"5476" 0 25.3120166666667 -80.7665666666667 4 2000
"5481" 0 25.3030166666667 -80.7664833333333 4 2000
"5483" 0 25.2939833333333 -80.79615 4 2000
"5513" 2 25.3748666666667 -80.7473666666667 4 2000
"5514" 0 25.3748166666667 -80.7374333333333 4 2000
"5515" 0 25.3747333333333 -80.7274 4 2000
"5516" 0 25.37495 -80.7175333333333 4 2000
"5517" 4 25.36595 -80.74735 4 2000
"5519" 0 25.36595 -80.7273833333333 4 2000
"5520" 0 25.3659833333333 -80.7175166666667 4 2000
"5522" 3 25.35695 -80.7473333333333 4 2000
"5523" 1 25.3569666666667 -80.7374 4 2000
"5525" 0 25.3569666666667 -80.7175166666667 4 2000
"5526" 2 25.3479 -80.7473166666667 4 2000
"5528" 1 25.3479333333333 -80.7274 4 2000
"5530" 4 25.339 -80.7473166666667 4 2000
"5531" 1 25.3390333333333 -80.7374 4 2000
"5533" 1 25.3390333333333 -80.7175333333333 4 2000
"5534" 1 25.3300166666667 -80.7473166666667 4 2000
"5538" 1 25.33005 -80.7076666666667 4 2000
"5540" 0 25.32095 -80.7374 4 2000
"5543" 1 25.3119833333333 -80.7472666666667 4 2000
"5549" 2 25.3029333333333 -80.7373666666667 4 2000
"5551" 0 25.3029333333333 -80.7174666666667 4 2000
"5553" 3 25.2939833333333 -80.74725 4 2000
"5555" 3 25.294 -80.7273833333333 4 2000
"5560" 3 25.285 -80.7272166666667 4 2000
"5561" 1 25.285 -80.7172333333333 4 2000
"5576" 0 25.3749 -80.80675 4 2001
"5589" 5 25.3659833333333 -80.7572 4 2001
"5617" 3 25.3300833333333 -80.79645 4 2001
"5628" 0 25.321 -80.76665 4 2001
"5636" 3 25.3119666666667 -80.7572333333333 4 2001
"5647" 0 25.294 -80.7572166666667 4 2001
"5669" 1 25.3748666666667 -80.7473666666667 4 2001
"5671" 0 25.3747333333333 -80.7274 4 2001
"5672" 0 25.37495 -80.7175333333333 4 2001
"5674" 1 25.36595 -80.7374 4 2001
"5676" 0 25.3659833333333 -80.7175166666667 4 2001
"5677" 0 25.3659833333333 -80.70765 4 2001
"5680" 2 25.35695 -80.7273833333333 4 2001
"5681" 0 25.3569666666667 -80.7175166666667 4 2001
"5686" 6 25.339 -80.7473166666667 4 2001
"5688" 2 25.3390166666667 -80.7274166666667 4 2001
"5691" 2 25.3300166666667 -80.7374166666667 4 2001
"5698" 2 25.3119833333333 -80.7373666666667 4 2001
"5708" 0 25.294 -80.7373666666667 4 2001
"5709" 3 25.294 -80.7273833333333 4 2001
"5724" 0 25.3917666666667 -80.7375833333333 5 2002
"5725" 0 25.3830333333333 -80.7474833333333 5 2002
"5727" 0 25.3830333333333 -80.7275666666667 5 2002
"5736" 1 25.3659666666667 -80.8166666666667 4 2002
"5754" 2 25.3480333333333 -80.78665 4 2002
"5755" 4 25.3480333333333 -80.7768333333333 4 2002
"5761" 0 25.3390166666667 -80.79655 4 2002
"5770" 1 25.3300833333333 -80.7864666666667 4 2002
"5790" 3 25.3030166666667 -80.7862 4 2002
"5820" 2 25.3479166666667 -80.7374 4 2002
"5916" 0 25.3209333333333 -80.75725 4 2003
"5938" 0 25.3748166666667 -80.7374333333333 4 2003
"5943" 0 25.36595 -80.7273833333333 4 2003
"5944" 0 25.3659833333333 -80.7175166666667 4 2003
"5945" 0 25.3659833333333 -80.70765 4 2003
"5971" 0 25.3029333333333 -80.7472666666667 4 2003
"5977" 3 25.294 -80.7373666666667 4 2003
"6049" 4 25.3120166666667 -80.7665666666667 5 2004
"6069" 2 25.36595 -80.7374 4 2004
"6077" 0 25.3569666666667 -80.7175166666667 5 2004
"6086" 2 25.3390166666667 -80.7274166666667 4 2004
"6091" 0 25.33005 -80.7076666666667 4 2004
"6123" 0 25.3749 -80.80675 6 1999
"6124" 0 25.3749333333333 -80.78685 5 1999
"6126" 0 25.37495 -80.7671666666667 5 1999
"6127" 1 25.375 -80.7572 5 1999
"6137" 3 25.357 -80.8165666666667 6 1999
"6138" 3 25.3569833333333 -80.80655 6 1999
"6141" 1 25.3570166666667 -80.7768833333333 5 1999
"6143" 5 25.3569833333333 -80.7572 5 1999
"6145" 0 25.3480333333333 -80.8164833333333 6 1999
"6148" 3 25.3480333333333 -80.78665 5 1999
"6155" 0 25.3390166666667 -80.79655 5 1999
"6157" 2 25.33905 -80.7767166666667 5 1999
"6159" 3 25.3390333333333 -80.7571666666667 5 1999
"6162" 2 25.3300833333333 -80.8063 6 1999
"6170" 0 25.3209833333333 -80.8062 6 1999
"6174" 2 25.321 -80.76665 5 1999
"6175" 4 25.3209333333333 -80.75725 5 1999
"6187" 2 25.3030166666667 -80.7664833333333 5 1999
"6188" 2 25.3030666666667 -80.75725 5 1999
"6205" 0 25.4100833333333 -80.7769666666667 6 1999
"6206" 0 25.4100833333333 -80.7669833333333 6 1999
"6208" 0 25.4011 -80.7868166666667 6 1999
"6212" 0 25.3748166666667 -80.7374333333333 5 1999
"6214" 0 25.37495 -80.7175333333333 5 1999
"6215" 3 25.36595 -80.74735 5 1999
"6216" 0 25.36595 -80.7374 5 1999
"6217" 1 25.36595 -80.7273833333333 5 1999
"6219" 2 25.35695 -80.7473333333333 5 1999
"6221" 2 25.35695 -80.7273833333333 5 1999
"6222" 0 25.3569666666667 -80.7175166666667 5 1999
