group,crop,carbon,sample.period,fertilizer,n.input,emission,EF,daily.em
49,corn,,117,AN,180,0.702,0.39,6
49,corn,,117,AN,180,1.053,0.585,9
49,corn,,140,AN,180,2.1,1.166666667,15
49,corn,,140,AN,180,2.8,1.555555556,20
49,corn,,140,AN,180,3.78,2.1,27
50,grass,3.1,5,none,0,0.015,#DIV/0!,3
50,grass,3.1,5,M,45,0.0332,0.073777778,6.64
50,grass,3.1,5,M,45,0.0894,0.198666667,17.88
50,grass,3.1,5,AN,60,0.046,0.076666667,9.2
51,unknown,1.6,16,none,0,0.33,#DIV/0!,20.625
51,unknown,1.1,16,M,99.159306,0.03,0.030254346,1.875
51,unknown,1.1,16,M,99.159306,0.04,0.040339129,2.5
51,unknown,1.1,16,M,99.159306,0.16,0.161356515,10
51,unknown,1.1,16,M,99.159306,0.22,0.221865207,13.75
51,unknown,1.6,16,M,135.21687,0.49,0.362380818,30.625
51,unknown,1.6,16,M,135.21687,0.67,0.495500303,41.875
51,unknown,1.6,16,M,135.21687,0.82,0.606433206,51.25
51,unknown,1.6,16,M,135.21687,0.91,0.672992948,56.875
52,tuber,1.4,365,AN,37,2.02,5.459459459,5.534246575
52,tuber,1.4,365,AN,75,1.62,2.16,4.438356164
53,other,1.05,365,M,83,9.4,11.3253012,25.75342466
53,other,1.88,365,M,83,12.9,15.54216867,35.34246575
53,cereal,1.31,365,AM,190,9.6,5.052631579,26.30136986
53,cereal,1.5,365,AM,190,16.8,8.842105263,46.02739726
54,grass,2.5,78,none,0,2.6,#DIV/0!,32.82051282
54,grass,2.5,78,M,228,7.3,3.201754386,93.58974359
55,rice,,8,A,20,0.2227,1.1135,27.8375
56,other,,23,U,120,2.0,1.666666667,86.95652174
57,vegetable,1.56,160,AN,80,0.2,0.25,1.25
57,vegetable,1.61,160,AN,80,0.2,0.25,1.25
57,vegetable,1.56,160,AN,80,0.4,0.5,2.5
57,vegetable,2.72,160,AM,410,1.2,0.292682927,7.5
57,other,1.56,210,AN,80,0.9,1.125,4.285714286
57,other,1.61,210,AN,80,1,1.25,4.761904762
57,other,1.56,206,AN,80,1.5,1.875,7.281553398
57,other,2.31,190,AM,245,0.3,0.12244898,1.578947368
57,other,2.31,202,AM,245,3.2,1.306122449,15.84158416
57,other,2.72,253,AM,410,2.7,0.658536585,10.67193676
57,other,2.72,257,AM,410,6.1,1.487804878,23.73540856
57,corn,1.81,147,AN,200,0.3,0.15,2.040816327
57,corn,1.74,147,AN,200,0.6,0.3,4.081632653
57,corn,1.74,190,AN,200,3.5,1.75,18.42105263
57,corn,1.81,190,AN,200,6.3,3.15,33.15789474
57,cereal,2.72,152,M,440,0.2,0.045454545,1.315789474
57,cereal,2.72,205,M,440,1.6,0.363636364,7.804878049
58,vegetable,2.14,107,none,0,1.730,#DIV/0!,16.1682243
58,other,2.14,323,M,267,0.780,0.292134831,2.414860681
58,grass,2.14,210,M,318,23.700,7.452830189,112.8571429
58,grass,4.16,310,AM,248,18.160,7.322580645,58.58064516
58,grass,2.89,310,AM,278,2.550,0.917266187,8.225806452
58,grass,2.05,308,AM,278,31.730,11.41366906,103.0194805
58,grass,2.05,332,AM,506,13.650,2.697628458,41.11445783
58,corn,0.91,310,unknown,75,0.320,0.426666667,1.032258065
58,corn,0.48,319,M,204,1.540,0.754901961,4.827586207
59,corn,1.48,57,A,168,0.291,0.17328869,5.10745614
60,vegetable,,307,none,0,0.362,#DIV/0!,1.18
60,vegetable,,307,none,0,0.491,#DIV/0!,1.6
60,vegetable,,307,none,0,1.606,#DIV/0!,5.23
60,vegetable,,307,AN,100,0.768,0.7675,2.5
60,vegetable,,307,AN,100,1.332,1.33238,4.34
60,vegetable,,307,AN,100,1.412,1.4122,4.6
60,vegetable,,307,AN,100,1.762,1.76218,5.74
60,vegetable,,307,AN,100,2.625,2.62485,8.55
60,vegetable,,307,AN,100,2.907,2.90729,9.47
60,vegetable,,307,AN,100,4.801,4.80148,15.64
61,unknown,,25,none,0,0.024,#DIV/0!,0.96
61,unknown,,270,none,0,0.291,#DIV/0!,1.077777778
61,unknown,,270,M,225,0.653,0.290222222,2.418518519
61,unknown,,25,AN,48,0.065,0.135416667,2.6
61,unknown,,270,AN,48,1.073,2.235416667,3.974074074
61,unknown,,25,AN,96,0.213,0.221875,8.52
61,unknown,,25,AN,192,1.433,0.746354167,57.32
62,vegetable,0.9,365,unknown,150,0.99,0.66,2.712328767
62,vegetable,0.9,365,unknown,150,3.89,2.593333333,10.65753425
62,vegetable,0.9,365,none,0,0.71,#DIV/0!,1.945205479
62,vegetable,0.9,365,none,0,1.11,#DIV/0!,3.04109589
62,tree,0.9,365,unknown,150,0.55,0.366666667,1.506849315
62,tree,0.9,365,unknown,150,0.77,0.513333333,2.109589041
62,tree,0.9,365,unknown,150,0.92,0.613333333,2.520547945
62,tree,0.9,365,unknown,150,0.94,0.626666667,2.575342466
62,tree,0.9,365,unknown,150,1.14,0.76,3.123287671
62,tree,0.9,365,unknown,150,1.23,0.82,3.369863014
62,tree,0.9,365,unknown,150,1.66,1.106666667,4.547945205
62,tree,0.9,365,unknown,150,1.67,1.113333333,4.575342466
62,tree,0.9,365,unknown,150,5.17,3.446666667,14.16438356
62,tree,0.9,365,none,0,0.37,#DIV/0!,1.01369863
62,tree,0.9,365,none,0,0.4,#DIV/0!,1.095890411
62,tree,0.9,365,none,0,0.49,#DIV/0!,1.342465753
62,tree,0.9,365,none,0,0.49,#DIV/0!,1.342465753
62,tree,0.9,365,none,0,0.49,#DIV/0!,1.342465753
62,tree,0.9,365,none,0,0.54,#DIV/0!,1.479452055
62,tree,0.9,365,none,0,0.56,#DIV/0!,1.534246575
62,tree,0.9,365,none,0,0.57,#DIV/0!,1.561643836
62,tree,0.9,365,none,0,0.58,#DIV/0!,1.589041096
62,other,0.9,365,unknown,150,1.48,0.986666667,4.054794521
62,other,0.9,365,none,0,0.94,#DIV/0!,2.575342466
62,grass,0.9,365,unknown,150,1.12,0.746666667,3.068493151
62,grass,0.9,365,unknown,150,1.16,0.773333333,3.178082192
62,grass,0.9,365,unknown,150,1.2,0.8,3.287671233
62,grass,0.9,365,unknown,150,1.37,0.913333333,3.753424658
62,grass,0.9,365,unknown,150,2.06,1.373333333,5.643835616
62,grass,0.9,365,none,0,0.94,#DIV/0!,2.575342466
62,grass,0.9,365,none,0,0.98,#DIV/0!,2.684931507
62,grass,0.9,365,none,0,1.01,#DIV/0!,2.767123288
62,grass,0.9,365,none,0,1.04,#DIV/0!,2.849315068
62,grass,0.9,365,none,0,1.15,#DIV/0!,3.150684932
63,vegetable,1.1,120,U,170,1.088,0.64,9.066666667
63,vegetable,1.1,120,none,0,0.254,#DIV/0!,2.116666667
63,vegetable,1.1,120,N,170,1.085,0.638235294,9.041666667
63,vegetable,1.1,120,AN,170,1.306,0.768235294,10.88333333
63,vegetable,1.1,120,AN,170,1.359,0.799411765,11.325
63,vegetable,1.1,219,AN,170,2.16,1.270588235,9.863013699
63,cereal,1.1,219,AN,170,2.09,1.229411765,9.543378995
64,vegetable,3.1,150,unknown,142,3.54,2.492957746,23.6
64,vegetable,1.7,150,unknown,153,0.153,0.1,1.02
64,vegetable,0.8,150,unknown,162,0.938,0.579012346,6.253333333
64,vegetable,1.7,150,unknown,232,0.315,0.135775862,2.1
64,vegetable,3.1,150,unknown,237,5.873,2.478059072,39.15333333
64,vegetable,0.8,150,unknown,262,2.003,0.764503817,13.35333333
64,vegetable,1.7,150,none,0,0.008,#DIV/0!,0.053333333
64,none,1.7,150,none,0,0.008,#DIV/0!,0.053333333
64,none,0.8,150,none,0,0.075,#DIV/0!,0.5
64,none,3.1,150,none,0,0.32,#DIV/0!,2.133333333
64,grass,0.8,150,none,0,0.008,#DIV/0!,0.053333333
64,grass,3.1,150,none,0,0.072,#DIV/0!,0.48
65,grass,2.97,93,UA,240,2.241,0.933875,24.1
65,grass,3.55,93,UA,240,3.060,1.274875,32.9
66,rice,0.8,105,UM,422.5,1.78,0.421301775,16.95238095
66,rice,0.8,105,UM,422.5,2.14,0.506508876,20.38095238
66,rice,0.2,105,UM,422.5,4.72,1.117159763,44.95238095
