DATE,INSTITUTION,TP,SECCHI,LAT,LONG,YEAR,SEASON,DISTANCE
10/8/2013,OEPA,29,,41.70163,-83.37407,2013,Late,0.123
7/22/2010,Toledo,29.2,0.8,41.733,-83.297,2010,Mid,0.203
7/16/2012,Toledo,29.3,2.5,41.751,-83.104,2012,Mid,0.3972
7/15/2013,Toledo,29.3,2.2,41.733,-83.297,2013,Mid,0.2033
8/27/2012,Toledo,29.4,1.3,41.743,-83.401,2012,Mid,0.1061
7/12/2012,NOAA,29.41,1.3,41.833,-83.364,2012,Mid,0.1909
8/12/2013,OSU,29.49,0.67,41.69,-83.265,2013,Mid,0.2318
7/16/2012,Toledo,29.8,1.2,41.742,-83.401,2012,Mid,0.1066
9/25/2013,OEPA,29.8,,41.733,-83.416237,2013,Late,0.0887
9/2/2013,OSU,29.82,1.52,41.648,-83.098,2013,Late,0.4017
8/16/2013,Toledo,29.9,1.5,41.751,-83.104,2013,Mid,0.3968
8/19/2011,Toledo,30,2.75,41.821,-83.186,2011,Mid,0.3348
4/25/2012,OEPA,30,,41.733,-83.416237,2012,Early,0.0887
6/19/2012,OEPA,30,,41.7267,-83.15,2012,Early,0.3483
3/5/2012,NOAA,30.02,0.4,41.844,-83.266,2012,Early,0.2741
7/12/2011,NOAA,30.1,2.5,41.949,-83.158,2011,Mid,0.4228
8/9/2010,NOAA,30.17,1.5,41.86,-83.267,2010,Mid,0.2818
8/13/2012,Toledo,30.4,1.8,41.789,-83.356,2012,Mid,0.1685
9/26/2013,OEPA,30.4,,41.7267,-83.15,2013,Late,0.3483
7/31/2012,NOAA,30.41,1.3,41.739,-83.114,2012,Mid,0.385
7/19/2010,NOAA,30.42,2.1,41.833,-83.192,2010,Mid,0.334
8/9/2010,NOAA,30.51,1.1,41.806,-83.254,2010,Mid,0.2662
6/20/2012,Toledo,30.7,2.6,41.751,-83.104,2012,Early,0.3972
7/11/2011,ODNR,30.89999962,,41.702,-83.248,2011,Mid,0.2492
6/19/2012,OEPA,31,,41.76832,-83.3008,2012,Early,0.209
7/16/2012,Toledo,31,2.7,41.821,-83.186,2012,Mid,0.3355
7/25/2012,OEPA,31,,41.76832,-83.3008,2012,Mid,0.209
4/15/2013,OEPA,31,,41.685,-82.9333,2013,Early,0.5638
8/10/2010,Toledo,31.1,1.4,41.734,-83.298,2010,Mid,0.2029
5/24/2012,ODNR,31.3,,41.702,-83.248,2012,Early,0.2492
8/2/2010,NOAA,31.34,0.6,41.706,-83.387,2010,Mid,0.1109
7/8/2010,Toledo,31.4,3.7,41.751,-83.103,2010,Mid,0.3973
8/10/2010,Toledo,31.4,1.5,41.79,-83.357,2010,Mid,0.1686
6/28/2010,NOAA,31.45,6.4,41.86,-83.264,2010,Early,0.2843
8/23/2011,NOAA,31.45,1.5,41.86,-83.217,2011,Mid,0.3242
6/11/2012,NOAA,31.57,1,41.763,-83.329,2012,Early,0.1805
7/12/2010,NOAA,31.6,1.5,41.764,-83.403,2010,Mid,0.116
8/1/2011,NOAA,31.66,0.75,41.761,-83.264,2011,Mid,0.2414
7/29/2013,OSU,31.72,2,41.704,-83.242,2013,Mid,0.2553
8/2/2010,NOAA,31.81,1.5,41.859,-83.265,2010,Mid,0.2837
8/16/2010,NOAA,32.08,1.5,41.834,-83.19,2010,Mid,0.3366
7/1/2010,ODNR,32.09999847,,41.839,-83.055,2010,Mid,0.4645
9/5/2013,OEPA,32.1,,41.685,-82.9333,2013,Late,0.5638
7/2/2012,Toledo,32.2,1.8,41.734,-83.297,2012,Mid,0.2036
7/18/2012,ODNR,32.4,,41.702,-83.248,2012,Mid,0.2492
7/29/2013,OSU,32.4,1.27,41.574,-82.945,2013,Mid,0.5653
7/12/2011,NOAA,32.49,3.1,41.858,-83.269,2011,Mid,0.2799
7/22/2010,Toledo,32.5,1.2,41.789,-83.356,2010,Mid,0.1691
7/22/2010,Toledo,32.7,1.3,41.742,-83.402,2010,Mid,0.1058
6/14/2010,NOAA,32.89,1.4,41.859,-83.242,2010,Early,0.303
8/26/2013,OSU,32.96,1.52,41.649,-83.098,2013,Mid,0.4014
9/12/2011,NOAA,32.97,1.4,41.859,-83.284,2011,Late,0.2681
8/11/2010,ODNR,33,,41.702,-83.248,2010,Mid,0.2492
8/30/2012,ODNR,33,,41.702,-83.248,2012,Mid,0.2492
7/14/2010,ODNR,33.09999847,,41.839,-83.055,2010,Mid,0.4645
8/31/2010,Toledo,33.1,1.34,41.751,-83.104,2010,Mid,0.3969
7/2/2012,Toledo,33.3,1.9,41.742,-83.401,2012,Mid,0.1066
8/12/2013,OSU,33.36,1.63,41.597,-82.92,2013,Mid,0.5857
8/1/2011,NOAA,33.46,1.1,41.79,-83.149,2011,Mid,0.3599
10/8/2013,OEPA,34,,41.733,-83.416237,2013,Late,0.0887
8/23/2010,NOAA,34.13,1.4,41.834,-83.191,2010,Mid,0.3353
6/8/2010,NOAA,34.15,1.1,41.886,-83.333,2010,Early,0.2502
6/20/2011,Toledo,34.2,1.35,41.75,-83.104,2011,Early,0.3971
9/19/2013,Toledo,34.2,0.6,41.75,-83.104,2013,Late,0.3967
7/25/2012,Toledo,34.4,0.9,41.734,-83.297,2012,Mid,0.2036
